"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"PRRC2A","OK",0.00803398686001944,2.4073679075904,0.0224319096517799,"PRRC2A",0.0288174104801649
"DGKI","OK",0.00803773106707433,2.40719776213161,0.0191902754806302,"DGKI",0.0288246070223772
"UBXN6","OK",0.00804344418696228,2.40693827891825,0.021732587668176,"UBXN6",0.0288388597676084
"CEP70","OK",0.0080498618662941,2.40664698858319,0.0221464134558217,"CEP70",0.0288556319244335
"GOLGA8A","OK",0.00807912019632733,2.40532157121876,0.0222463767684794,"GOLGA8A",0.0289542540138905
"GADD45GIP1","OK",0.0080857809974923,2.4050204231549,0.0226316645999355,"GADD45GIP1",0.0289718651165278
"NECAP2","OK",0.00809903718610403,2.40442173269595,0.0226470064751013,"NECAP2",0.029013095198428
"RNASE4","OK",0.00810159227562398,2.40430643596023,0.0201586602651806,"RNASE4",0.0290159813179657
"FOXN4","OK",0.00811474340258792,2.40371350504724,0.0138090349012328,"FOXN4",0.0290505361699381
"ZBTB7A","OK",0.00811414926839684,2.40374027392509,0.0223866297217955,"ZBTB7A",0.0290505361699381
"ATN1","OK",0.0081232818645378,2.40332899243411,0.0222541908060596,"ATN1",0.0290748280114855
"ZNF451","OK",0.00813981839866332,2.4025853115059,0.0227231297142805,"ZNF451",0.0291277298727572
"PI4K2A","OK",0.00819548745410804,2.4000914819534,0.0221238851066514,"PI4K2A",0.0293206114999646
"SESN3","OK",0.00822314934415182,2.39885783113098,0.0223933630080945,"SESN3",0.029413231620035
"ARHGAP25","OK",0.00824523942895335,2.39787528404166,0.0225645583512645,"ARHGAP25",0.0294858864097931
"CENPO","OK",0.00825564504286999,2.3974132525882,0.0216656572333872,"CENPO",0.0295103725605693
"PAH","OK",0.00825467106781134,2.39745647745353,0.00657778881115287,"PAH",0.0295103725605693
"ZBTB48","OK",0.00826019868483402,2.39721122205283,0.0223600771540233,"ZBTB48",0.0295202877368363
"TPO","OK",0.00826453056386033,2.39701912120138,0.0153618188500567,"TPO",0.0295294062757836
"TMEM55B","OK",0.00827699827085194,2.39646672328404,0.0220800998681288,"TMEM55B",0.0295675841741009
"PLEKHM2","OK",0.00831174525323444,2.39493106043841,0.0222672248338555,"PLEKHM2",0.0296853158419781
"CPSF6","OK",0.0083203248644047,2.39455274759072,0.0225671714958844,"CPSF6",0.0297095604307893
"AMZ1","OK",0.00832367712150176,2.39440502487464,0.0212408492140057,"AMZ1",0.0297151331763298
"CD3E","OK",0.00833444432139224,2.39393090363198,0.0202364343147538,"CD3E",0.029747168821737
"CHTF18","OK",0.00833948141968161,2.39370928544426,0.0214337969986138,"CHTF18",0.0297587432932098
"DLEC1","OK",0.0083546938699269,2.39304069308068,0.020463482132796,"DLEC1",0.0298066148691348
"STOML2","OK",0.00838484227757124,2.39171881242953,0.022597140516962,"STOML2",0.0299077406485584
"IFT27","OK",0.00840095666923945,2.39101397455255,0.0224554709194161,"IFT27",0.0299587760301022
"VSTM4","OK",0.00842300715960893,2.39005141448352,0.0192321784781393,"VSTM4",0.0300309537294225
"OR4F15","OK",0.00844841093673867,2.38894521308952,0.0141159430072511,"OR4F15",0.03011505347018
"TIMM17B","OK",0.00845900864709219,2.38848460114538,0.022543284700315,"TIMM17B",0.0301463509713518
"GUSB","OK",0.0084952211979499,2.38691449518933,0.0219988622461348,"GUSB",0.0302689019955311
"RRAS2","OK",0.00853886159484085,2.38503011729187,0.0221651042460944,"RRAS2",0.0304178604836835
"ZWILCH","OK",0.00860669236739653,2.38211791351017,0.0218415721324084,"ZWILCH",0.0306529095137726
"CACNB3","OK",0.00861127368200697,2.38192194891777,0.0210871247328345,"CACNB3",0.0306626417539218
"ABR","OK",0.00862790856068928,2.38121116413819,0.0215053091046994,"ABR",0.0307152804008569
"DDX46","OK",0.00864192564335071,2.38061316661678,0.0225701338359281,"DDX46",0.0307585791245955
"RPS6KA4","OK",0.00867841189241803,2.37906056809151,0.0182402799318943,"RPS6KA4",0.0308751908296108
"TST","OK",0.00867839883004584,2.37906112290918,0.0218928565817079,"TST",0.0308751908296108
"CEP104","OK",0.00869718548554126,2.37826392504031,0.022311433959669,"CEP104",0.0309353460139797
"ZNF250","OK",0.00875804256062217,2.37569182688839,0.019894164718094,"ZNF250",0.0311451316274613
"MED10","OK",0.00876464257667916,2.37541382269107,0.0224211666947191,"MED10",0.0311619210668383
"ZBTB8OS","OK",0.00879446864402815,2.37415978075759,0.022347870713761,"ZBTB8OS",0.0312612638083693
"RUFY2","OK",0.0088022920701103,2.37383146077398,0.0220433344300784,"RUFY2",0.0312823690325368
"SP4","OK",0.00881063145576235,2.37348176941861,0.0221734395205027,"SP4",0.0313052984844204
"LACTB2","OK",0.00881830813999023,2.37316012315449,0.0218370397045147,"LACTB2",0.0313258639558531
"SEPT2","OK",0.00883355555800236,2.37252199701099,0.022463565929843,"SEPT2",0.0313733088833034
"GOLIM4","OK",0.00883954696328035,2.37227151234863,0.0217431282526306,"GOLIM4",0.0313878668235855
"ZNF738","OK",0.00884331840399471,2.37211391478087,0.0221297058235563,"ZNF738",0.0313945374676062
"MRPS11","OK",0.00885577596445904,2.37159376775792,0.0222779201918135,"MRPS11",0.031432035126582
"RYK","OK",0.00886074938463701,2.37138628903997,0.0221879756501363,"RYK",0.0314429587705583
"OSBPL8","OK",0.00889282339600958,2.37005068711105,0.0224485473946251,"OSBPL8",0.0315500254216503
"CBR1","OK",0.00890506661628029,2.36954197709164,0.0223260091886433,"CBR1",0.0315867054956426
"FAM46A","OK",0.00891109915010194,2.3692915485682,0.0218932415634264,"FAM46A",0.0316013449868699
"PIP5K1A","OK",0.00891439150033867,2.36915493591358,0.0214636084827989,"PIP5K1A",0.0316062628098797
"VCPKMT","OK",0.00896762388794628,2.36695222638812,0.0222295211848909,"VCPKMT",0.0317882047030299
"CSTF1","OK",0.0089699141585598,2.36685771426784,0.0219355286618763,"CSTF1",0.0317895291098019
"FYCO1","OK",0.00897705159609834,2.36656331065306,0.020521751010036,"FYCO1",0.0317975316664609
"PRPF19","OK",0.00897760521428833,2.36654048368934,0.021874147804785,"PRPF19",0.0317975316664609
"INO80C","OK",0.00897792359785582,2.36652735655391,0.0222576512878908,"INO80C",0.0317975316664609
"ANKRD13D","OK",0.00899260202764362,2.36592259887898,0.0222700379944616,"ANKRD13D",0.0318427193062547
"WTAP","OK",0.00901081851950228,2.36517327277552,0.0223730940776885,"WTAP",0.0319004132261398
"NT5C3B","OK",0.00906084575502058,2.3631222320917,0.0219714468289176,"NT5C3B",0.0320706759907749
"FDFT1","OK",0.00906525471438862,2.36294194734156,0.0222687011907689,"FDFT1",0.0320794356076061
"APOL6","OK",0.00908227905419876,2.36224653269183,0.0216444700092375,"APOL6",0.0321328243159003
"DNAJC5","OK",0.00913296370520595,2.36018288937423,0.021818529246361,"DNAJC5",0.0323052540018225
"MKRN1","OK",0.00914230156602941,2.35980378939076,0.0220169669392001,"MKRN1",0.0323313888644273
"SLC25A45","OK",0.00915246399778464,2.35939159836409,0.0222173519227295,"SLC25A45",0.0323604280254223
"CHURC1","OK",0.00920894382608423,2.35710803542516,0.0221545656789197,"CHURC1",0.0325531846332977
"SLC30A7","OK",0.00921241801783915,2.35696796932359,0.0220467240562573,"SLC30A7",0.0325549885352192
"NDUFB2","OK",0.00921337972894724,2.35692920498648,0.0223570924804151,"NDUFB2",0.0325549885352192
"PPTC7","OK",0.00925897283449442,2.35509550415862,0.022107840701073,"PPTC7",0.0327091210719754
"SNX12","OK",0.00926181005405029,2.35498165590758,0.0213926389235589,"SNX12",0.0327121766517202
"RMDN3","OK",0.00930600537643302,2.35321217229939,0.0213777538876663,"RMDN3",0.032861274254528
"AARS2","OK",0.00930905091513002,2.35309050662112,0.0218196400092307,"AARS2",0.0328650316045863
"LRRK2","OK",0.00934767473838294,2.35155054421851,0.0204696671738242,"LRRK2",0.0329943675698701
"CHSY1","OK",0.00936607022840662,2.35081905758805,0.021675898850457,"CHSY1",0.0330522640017771
"RAPGEF2","OK",0.00938343184709169,2.35012983419173,0.0219823811369481,"RAPGEF2",0.0331064881122873
"CLASP2","OK",0.00940254328829553,2.34937243473838,0.0217149100308373,"CLASP2",0.0331668615439536
"ZC3H12D","OK",0.00941108381527682,2.34903440307265,0.0218423343986302,"ZC3H12D",0.0331899290155606
"DCLRE1B","OK",0.00941695362692188,2.34880223310997,0.0211695233776864,"DCLRE1B",0.0332035699098908
"ASNS","OK",0.00946302718742938,2.34698425811797,0.0216408480574307,"ASNS",0.0333589306972803
"HECTD3","OK",0.00946947666523058,2.34673039192229,0.0210539038701665,"HECTD3",0.0333745728791998
"PHF1","OK",0.00949847689103162,2.34559074177226,0.021986109254209,"PHF1",0.0334696702176865
"TEAD3","OK",0.00950518291365361,2.3453276418344,0.0195820456682718,"TEAD3",0.0334861860250337
"EBNA1BP2","OK",0.0095432759886689,2.34383619373095,0.0219933361023585,"EBNA1BP2",0.0336132460284694
"ATP6V1F","OK",0.00957354733936161,2.34265469429293,0.0222074395230878,"ATP6V1F",0.0337127083164865
"ERBB2IP","OK",0.00958646942007317,2.34215133613523,0.0220832454583854,"ERBB2IP",0.033751046869313
"SYPL1","OK",0.00959454150278184,2.34183720245679,0.0220181149301051,"SYPL1",0.0337722974034677
"FBXL22","OK",0.0096091391026524,2.34126970748611,0.0201782731204086,"FBXL22",0.0338165035341805
"CD2BP2","OK",0.00968891074256511,2.33818175644133,0.0216328172103307,"CD2BP2",0.0340900028799713
"UHRF1BP1L","OK",0.00969821733831852,2.3378229477411,0.0218711815542098,"UHRF1BP1L",0.0341155106624286
"ZNF141","OK",0.0097095844236545,2.33738510635211,0.0219199363639976,"ZNF141",0.0341482542940487
"PBX1","OK",0.00972872595837454,2.33664881703251,0.0201396461557656,"PBX1",0.0342083207007844
"NFIA","OK",0.00973366530891128,2.33645902773528,0.021509904746472,"NFIA",0.0342184342546847
"SLC39A4","OK",0.00974045228086526,2.33619838273861,0.0218781550926104,"SLC39A4",0.0342350374084406
"XRCC1","OK",0.00974482784487648,2.33603042889272,0.0209899251816669,"XRCC1",0.0342431598803223
"PCYOX1","OK",0.00975945630933872,2.33546940047589,0.0207311174169103,"PCYOX1",0.0342800386164108
"CREBBP","OK",0.00975782224426837,2.33553203340415,0.021966189558265,"CREBBP",0.0342800386164108
"U2AF1L4","OK",0.00976587994163193,2.33522327449669,0.0220605623759938,"U2AF1L4",0.0342953387067345
"TRAIP","OK",0.00978147353467702,2.33462638286672,0.0192816076721837,"TRAIP",0.0343428281215396
"PLXDC2","OK",0.00978495257107321,2.3344933257155,0.0200826366006339,"PLXDC2",0.0343477721362583
"RHOJ","OK",0.00978943789235157,2.33432184376083,0.0169167663379104,"RHOJ",0.0343562456374404
"JAKMIP2","OK",0.0098509960017613,2.3319752731921,0.0213279103404958,"JAKMIP2",0.0345576606779215
"TMEM97","OK",0.00984937385083283,2.33203694443732,0.0204062898415717,"TMEM97",0.0345576606779215
"EPHX2","OK",0.00986944537338022,2.33127448475364,0.0193426046739188,"EPHX2",0.0346150604700538
"KBTBD8","OK",0.00987990714283972,2.33087760875707,0.0214492868338966,"KBTBD8",0.0346371041790614
"THNSL1","OK",0.00987877989209386,2.33092035431423,0.0190990439737728,"THNSL1",0.0346371041790614
"NUBP2","OK",0.00988947844147815,2.33051483483239,0.0219737923392568,"NUBP2",0.0346633325085284
"ZNF3","OK",0.00990333988087738,2.32998999796499,0.0213726578410536,"ZNF3",0.0347045838293328
"NFKB1","OK",0.0099187456418131,2.32940744036897,0.0213022050838297,"NFKB1",0.0347512283935598
"CNNM2","OK",0.00993193906123358,2.32890916849112,0.0206266423367,"CNNM2",0.0347901037528237
"ZNF540","OK",0.00996916938649425,2.32750621164816,0.0212251407929859,"ZNF540",0.034913142619171
